,0,1,2,3,4,5,6,7
politique,0.25,0.301,0.344,0.457,0.546,0.672,0.787,0.898
premier,0.343,0.262,0.633,0.701,0.79,0.953,0.956,0.898
part,0.895,0.955,0.81,0.772,0.744,0.783,0.814,0.898
non,0.728,0.494,0.576,0.509,0.735,0.861,0.926,0.898
dernier,0.379,0.685,0.782,0.829,0.948,0.831,0.807,0.898
avoir,0.348,0.6,0.426,0.601,0.567,0.683,0.821,0.898
fois,0.233,0.249,0.344,0.507,0.598,0.731,0.822,0.918
gouvernement,0.344,0.267,0.344,0.511,0.664,0.705,0.789,0.898
alors,0.452,0.288,0.438,0.704,0.86,0.852,0.926,0.907
dimanche,0.342,0.262,0.317,0.432,0.547,0.724,0.787,0.924
soit,0.899,0.786,0.92,0.738,0.82,0.875,0.847,0.898
tél,0.895,0.992,0.882,0.908,0.913,0.985,0.978,0.898
quelques,0.402,0.274,0.38,0.449,0.566,0.672,0.82,0.898
déjà,0.786,0.698,0.927,0.976,0.98,0.946,0.893,0.898
avant,0.123,0.202,0.517,0.523,0.595,0.634,0.773,0.899
selon,0.779,0.471,0.477,0.633,0.842,0.769,0.847,0.898
première,0.123,0.308,0.515,0.526,0.54,0.702,0.874,0.898
samedi,0.232,0.357,0.32,0.395,0.544,0.709,0.787,0.904
nouveau,0.374,0.406,0.79,0.815,0.909,0.985,0.976,0.947
dès,0.565,0.441,0.493,0.806,0.868,0.873,0.81,0.898
jours,0.233,0.236,0.369,0.479,0.631,0.852,0.837,0.91
vie,0.571,0.928,0.867,0.898,0.891,0.781,0.814,0.898
me,0.233,0.248,0.402,0.474,0.589,0.774,0.913,0.898
place,0.237,0.289,0.401,0.536,0.752,0.942,0.868,0.898
paris,0.237,0.293,0.403,0.585,0.831,0.97,0.913,0.932
toute,0.561,0.933,0.907,0.827,0.639,0.699,0.814,0.898
société,0.786,0.774,0.691,0.742,0.628,0.843,0.837,0.898
jour,0.123,0.24,0.289,0.362,0.462,0.674,0.831,0.922
lundi,0.67,0.611,0.548,0.548,0.78,0.959,0.865,0.898
également,0.349,0.274,0.422,0.594,0.576,0.672,0.82,0.935
heures,0.123,0.266,0.318,0.497,0.744,0.789,0.874,0.908
donc,0.672,0.63,0.815,0.786,0.806,0.8,0.979,0.918
suisses,0.387,0.273,0.399,0.483,0.549,0.699,0.81,0.898
général,0.458,0.303,0.364,0.535,0.56,0.672,0.82,0.898
nouvelle,0.895,0.966,0.953,0.929,0.808,0.771,0.823,0.898
français,0.453,0.323,0.654,0.662,0.62,0.779,0.884,0.898
cet,0.344,0.353,0.68,0.736,0.713,0.862,0.977,0.898
marché,0.676,0.864,0.685,0.672,0.702,0.866,0.787,0.898
hui,0.895,0.653,0.739,0.735,0.827,0.824,0.973,0.925
effet,0.387,0.807,0.871,0.965,0.799,0.821,0.913,0.898
toujours,0.895,0.534,0.679,0.802,0.748,0.782,0.814,0.909
fédéral,0.573,0.516,0.403,0.672,0.649,0.748,0.831,0.906
or,0.343,0.264,0.711,0.767,0.891,0.934,0.949,0.898
journal,0.123,0.291,0.512,0.734,0.648,0.661,0.751,0.898
groupe,0.458,0.446,0.409,0.518,0.561,0.746,0.854,0.903
vendredi,0.356,0.415,0.341,0.379,0.537,0.713,0.787,0.938
toutes,0.617,0.474,0.409,0.483,0.557,0.672,0.82,0.898
europe,0.15,0.424,0.412,0.628,0.739,0.933,0.891,0.898
etats-unis,0.785,0.38,0.518,0.618,0.682,0.734,0.787,0.917
cas,0.232,0.318,0.284,0.494,0.646,0.739,0.81,0.898
cela,0.348,0.509,0.753,0.957,0.882,0.819,0.839,0.898
service,0.348,0.278,0.342,0.498,0.639,0.865,0.865,0.898
corp,0.123,0.264,0.416,0.601,0.605,0.767,0.85,0.898
zurich,0.601,0.32,0.402,0.467,0.715,0.819,0.837,0.898
point,0.576,0.406,0.441,0.768,0.684,0.776,0.929,0.898
parti,0.232,0.465,0.329,0.385,0.426,0.613,0.756,0.916
grande,0.895,0.487,0.638,0.809,0.698,0.874,0.935,0.904
fut,0.461,0.381,0.489,0.527,0.464,0.667,0.787,0.898
ville,0.556,0.473,0.572,0.481,0.72,0.864,0.926,0.898
aujourd,0.895,0.422,0.59,0.725,0.809,0.848,0.951,0.898
mardi,0.56,0.47,0.436,0.495,0.65,0.854,0.81,0.898
