,0,1,2,3,4,5,6,7
quelques,0.873,0.739,0.611,0.68,0.833,0.904,0.877,0.881
déjà,0.233,0.25,0.417,0.673,0.751,0.385,0.339,0.827
avant,0.334,0.517,0.296,0.083,0.112,0.0,0.033,0.217
selon,0.873,0.767,0.882,0.71,0.888,0.93,0.896,0.881
première,0.233,0.505,0.531,0.503,0.545,0.306,0.813,0.881
samedi,0.221,0.094,0.15,0.131,0.336,0.29,0.728,0.881
nouveau,0.777,0.667,0.512,0.498,0.927,0.988,0.977,0.881
dès,0.765,0.976,0.865,0.885,0.944,0.986,0.895,0.881
jours,0.211,0.291,0.085,0.122,0.154,0.581,0.815,0.881
vie,0.765,0.997,0.938,0.898,0.765,0.813,0.884,0.881
me,0.873,0.794,0.611,0.624,0.845,0.758,0.832,0.881
place,0.911,0.927,0.95,0.897,0.986,0.985,0.964,0.881
paris,0.113,0.351,0.234,0.373,0.716,0.915,0.934,0.881
toute,0.664,0.783,0.974,0.849,0.641,0.567,0.366,0.549
société,0.937,0.999,0.997,0.992,0.993,0.985,0.985,0.881
jour,0.762,0.251,0.082,0.098,0.211,0.343,0.687,0.65
lundi,0.428,0.284,0.463,0.65,0.598,0.783,0.95,0.948
également,0.113,0.056,0.238,0.248,0.259,0.201,0.619,0.881
heures,0.0,0.053,0.049,0.142,0.479,0.436,0.497,0.777
donc,0.654,0.803,0.556,0.47,0.378,0.364,0.875,0.917
suisses,0.442,0.805,0.52,0.846,0.917,0.884,0.724,0.881
général,0.224,0.447,0.514,0.874,0.769,0.769,0.972,0.766
nouvelle,0.607,0.824,0.518,0.353,0.213,0.236,0.329,0.821
français,0.873,0.907,0.953,0.992,0.965,0.965,0.965,0.9
cet,0.224,0.655,0.779,0.935,0.966,0.951,0.978,0.943
marché,0.935,0.953,0.987,0.889,0.775,0.582,0.645,0.552
hui,0.576,0.828,0.944,0.992,0.963,0.954,0.934,0.881
effet,0.667,0.964,0.995,0.992,0.993,0.973,0.967,0.881
toujours,0.649,0.954,0.937,0.996,0.998,0.862,0.632,0.637
fédéral,0.438,0.675,0.534,0.386,0.438,0.671,0.945,0.881
or,0.546,0.529,0.375,0.378,0.651,0.878,0.939,0.881
